,Price Option Lookup,,,,Pricing Unit,,,,,
N,"Qube Uma Mahal Screen 1, Pathapatnam, Andhra Pradesh",CINEMA003107,SCREEN-1SLIDE,CINEMA003107SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Alagesan Theatre, Ayyampalayam, Tamil Nadu",CINEMA003108,SCREEN-1ADFILM,CINEMA003108SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Alagesan Theatre, Ayyampalayam, Tamil Nadu",CINEMA003108,SCREEN-1ADFILM,CINEMA003108SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Alagesan Theatre, Ayyampalayam, Tamil Nadu",CINEMA003108,SCREEN-1SLIDE,CINEMA003108SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Alagesan Theatre, Ayyampalayam, Tamil Nadu",CINEMA003108,SCREEN-1SLIDE,CINEMA003108SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Venkatrama Theatre, Attili, Andhra Pradesh",CINEMA003109,SCREEN-1ADFILM,CINEMA003109SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Venkatrama Theatre, Attili, Andhra Pradesh",CINEMA003109,SCREEN-1ADFILM,CINEMA003109SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Venkatrama Theatre, Attili, Andhra Pradesh",CINEMA003109,SCREEN-1SLIDE,CINEMA003109SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Venkatrama Theatre, Attili, Andhra Pradesh",CINEMA003109,SCREEN-1SLIDE,CINEMA003109SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-1ADFILM,CINEMA003110SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-1ADFILM,CINEMA003110SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-1SLIDE,CINEMA003110SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-1SLIDE,CINEMA003110SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-2ADFILM,CINEMA003110SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-2ADFILM,CINEMA003110SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-2SLIDE,CINEMA003110SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-2SLIDE,CINEMA003110SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-3ADFILM,CINEMA003110SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-3ADFILM,CINEMA003110SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-3SLIDE,CINEMA003110SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-3SLIDE,CINEMA003110SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-4ADFILM,CINEMA003110SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-4ADFILM,CINEMA003110SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-4SLIDE,CINEMA003110SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-4SLIDE,CINEMA003110SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-5ADFILM,CINEMA003110SCREEN-5ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-5ADFILM,CINEMA003110SCREEN-5ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-5SLIDE,CINEMA003110SCREEN-5SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-5SLIDE,CINEMA003110SCREEN-5SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-6ADFILM,CINEMA003110SCREEN-6ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-6ADFILM,CINEMA003110SCREEN-6ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-6SLIDE,CINEMA003110SCREEN-6SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 1, Bangalore, Karnataka",CINEMA003110,SCREEN-6SLIDE,CINEMA003110SCREEN-6SLIDE,#Week(S),WEEK,1,1,90,0
N,"Siddhartha Cinemas Screen 2, Chittoor, Andhra Pradesh",CINEMA003111,SCREEN-1ADFILM,CINEMA003111SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Siddhartha Cinemas Screen 2, Chittoor, Andhra Pradesh",CINEMA003111,SCREEN-1ADFILM,CINEMA003111SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Siddhartha Cinemas Screen 2, Chittoor, Andhra Pradesh",CINEMA003111,SCREEN-1SLIDE,CINEMA003111SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Siddhartha Cinemas Screen 2, Chittoor, Andhra Pradesh",CINEMA003111,SCREEN-1SLIDE,CINEMA003111SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Uma Mahal Screen 2, Pathapatnam, Andhra Pradesh",CINEMA003112,SCREEN-1ADFILM,CINEMA003112SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Uma Mahal Screen 2, Pathapatnam, Andhra Pradesh",CINEMA003112,SCREEN-1ADFILM,CINEMA003112SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Uma Mahal Screen 2, Pathapatnam, Andhra Pradesh",CINEMA003112,SCREEN-1SLIDE,CINEMA003112SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Uma Mahal Screen 2, Pathapatnam, Andhra Pradesh",CINEMA003112,SCREEN-1SLIDE,CINEMA003112SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Sai Raja Theatre, Shadnagar, Telangana",CINEMA003113,SCREEN-1ADFILM,CINEMA003113SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Sai Raja Theatre, Shadnagar, Telangana",CINEMA003113,SCREEN-1ADFILM,CINEMA003113SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Sai Raja Theatre, Shadnagar, Telangana",CINEMA003113,SCREEN-1SLIDE,CINEMA003113SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Sai Raja Theatre, Shadnagar, Telangana",CINEMA003113,SCREEN-1SLIDE,CINEMA003113SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-1ADFILM,CINEMA003114SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-1ADFILM,CINEMA003114SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-1SLIDE,CINEMA003114SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-1SLIDE,CINEMA003114SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-2ADFILM,CINEMA003114SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-2ADFILM,CINEMA003114SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-2SLIDE,CINEMA003114SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-2SLIDE,CINEMA003114SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-3ADFILM,CINEMA003114SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-3ADFILM,CINEMA003114SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-3SLIDE,CINEMA003114SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube AMB Cinemas Screen 7, Bangalore, Karnataka",CINEMA003114,SCREEN-3SLIDE,CINEMA003114SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Sri Lakshmi Theatre, Dharmajigudem, Andhra Pradesh",CINEMA003115,SCREEN-1ADFILM,CINEMA003115SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Sri Lakshmi Theatre, Dharmajigudem, Andhra Pradesh",CINEMA003115,SCREEN-1ADFILM,CINEMA003115SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Sri Lakshmi Theatre, Dharmajigudem, Andhra Pradesh",CINEMA003115,SCREEN-1SLIDE,CINEMA003115SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Sri Lakshmi Theatre, Dharmajigudem, Andhra Pradesh",CINEMA003115,SCREEN-1SLIDE,CINEMA003115SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Sundar Ayaan Cinema Screen 1, Solan, Himachal Pradesh",CINEMA003116,SCREEN-1ADFILM,CINEMA003116SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Sundar Ayaan Cinema Screen 1, Solan, Himachal Pradesh",CINEMA003116,SCREEN-1ADFILM,CINEMA003116SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Sundar Ayaan Cinema Screen 1, Solan, Himachal Pradesh",CINEMA003116,SCREEN-1SLIDE,CINEMA003116SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Sundar Ayaan Cinema Screen 1, Solan, Himachal Pradesh",CINEMA003116,SCREEN-1SLIDE,CINEMA003116SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Sundar Ayaan Cinema Screen 1, Solan, Himachal Pradesh",CINEMA003116,SCREEN-2ADFILM,CINEMA003116SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Sundar Ayaan Cinema Screen 1, Solan, Himachal Pradesh",CINEMA003116,SCREEN-2ADFILM,CINEMA003116SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Sundar Ayaan Cinema Screen 1, Solan, Himachal Pradesh",CINEMA003116,SCREEN-2SLIDE,CINEMA003116SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Sundar Ayaan Cinema Screen 1, Solan, Himachal Pradesh",CINEMA003116,SCREEN-2SLIDE,CINEMA003116SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-1ADFILM,CINEMA003117SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-1ADFILM,CINEMA003117SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-1SLIDE,CINEMA003117SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-1SLIDE,CINEMA003117SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-2ADFILM,CINEMA003117SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-2ADFILM,CINEMA003117SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-2SLIDE,CINEMA003117SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-2SLIDE,CINEMA003117SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-3ADFILM,CINEMA003117SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-3ADFILM,CINEMA003117SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-3SLIDE,CINEMA003117SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 1, Chennai, Tamil Nadu",CINEMA003117,SCREEN-3SLIDE,CINEMA003117SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 4-EPIQ, Chennai, Tamil Nadu",CINEMA003118,SCREEN-1ADFILM,CINEMA003118SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 4-EPIQ, Chennai, Tamil Nadu",CINEMA003118,SCREEN-1ADFILM,CINEMA003118SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 4-EPIQ, Chennai, Tamil Nadu",CINEMA003118,SCREEN-1SLIDE,CINEMA003118SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 4-EPIQ, Chennai, Tamil Nadu",CINEMA003118,SCREEN-1SLIDE,CINEMA003118SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 5, Chennai, Tamil Nadu",CINEMA003119,SCREEN-1ADFILM,CINEMA003119SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 5, Chennai, Tamil Nadu",CINEMA003119,SCREEN-1ADFILM,CINEMA003119SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 5, Chennai, Tamil Nadu",CINEMA003119,SCREEN-1SLIDE,CINEMA003119SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 5, Chennai, Tamil Nadu",CINEMA003119,SCREEN-1SLIDE,CINEMA003119SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 5, Chennai, Tamil Nadu",CINEMA003119,SCREEN-2ADFILM,CINEMA003119SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 5, Chennai, Tamil Nadu",CINEMA003119,SCREEN-2ADFILM,CINEMA003119SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Rakki Cinemas Screen 5, Chennai, Tamil Nadu",CINEMA003119,SCREEN-2SLIDE,CINEMA003119SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Rakki Cinemas Screen 5, Chennai, Tamil Nadu",CINEMA003119,SCREEN-2SLIDE,CINEMA003119SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-1ADFILM,CINEMA003120SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-1ADFILM,CINEMA003120SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-1SLIDE,CINEMA003120SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-1SLIDE,CINEMA003120SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-2ADFILM,CINEMA003120SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-2ADFILM,CINEMA003120SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-2SLIDE,CINEMA003120SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-2SLIDE,CINEMA003120SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-3ADFILM,CINEMA003120SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-3ADFILM,CINEMA003120SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-3SLIDE,CINEMA003120SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-3SLIDE,CINEMA003120SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-4ADFILM,CINEMA003120SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-4ADFILM,CINEMA003120SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-4SLIDE,CINEMA003120SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Shreeji Cinema Screen 1, Bhavnagar Para, Gujarat",CINEMA003120,SCREEN-4SLIDE,CINEMA003120SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Bihta, Bihar",CINEMA003121,SCREEN-1ADFILM,CINEMA003121SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Bihta, Bihar",CINEMA003121,SCREEN-1ADFILM,CINEMA003121SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Bihta, Bihar",CINEMA003121,SCREEN-1SLIDE,CINEMA003121SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Bihta, Bihar",CINEMA003121,SCREEN-1SLIDE,CINEMA003121SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Bihta, Bihar",CINEMA003121,SCREEN-2ADFILM,CINEMA003121SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Bihta, Bihar",CINEMA003121,SCREEN-2ADFILM,CINEMA003121SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Bihta, Bihar",CINEMA003121,SCREEN-2SLIDE,CINEMA003121SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Bihta, Bihar",CINEMA003121,SCREEN-2SLIDE,CINEMA003121SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube JAS Theatre, Ottapalam, Kerala",CINEMA003122,SCREEN-1ADFILM,CINEMA003122SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube JAS Theatre, Ottapalam, Kerala",CINEMA003122,SCREEN-1ADFILM,CINEMA003122SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube JAS Theatre, Ottapalam, Kerala",CINEMA003122,SCREEN-1SLIDE,CINEMA003122SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube JAS Theatre, Ottapalam, Kerala",CINEMA003122,SCREEN-1SLIDE,CINEMA003122SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-1ADFILM,CINEMA003123SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-1ADFILM,CINEMA003123SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-1SLIDE,CINEMA003123SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-1SLIDE,CINEMA003123SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-2ADFILM,CINEMA003123SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-2ADFILM,CINEMA003123SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-2SLIDE,CINEMA003123SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-2SLIDE,CINEMA003123SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-3ADFILM,CINEMA003123SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-3ADFILM,CINEMA003123SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-3SLIDE,CINEMA003123SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-3SLIDE,CINEMA003123SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-4ADFILM,CINEMA003123SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-4ADFILM,CINEMA003123SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-4SLIDE,CINEMA003123SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Connplex Cinemas Screen 1, Muzaffarpur, Bihar",CINEMA003123,SCREEN-4SLIDE,CINEMA003123SCREEN-4SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Prem Cineplex, Rudarpur, Uttarakhand",CINEMA003124,SCREEN-1ADFILM,CINEMA003124SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Prem Cineplex, Rudarpur, Uttarakhand",CINEMA003124,SCREEN-1ADFILM,CINEMA003124SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Prem Cineplex, Rudarpur, Uttarakhand",CINEMA003124,SCREEN-1SLIDE,CINEMA003124SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Prem Cineplex, Rudarpur, Uttarakhand",CINEMA003124,SCREEN-1SLIDE,CINEMA003124SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Cinemore Cinemas Screen 1, Bathinda, Punjab",CINEMA003125,SCREEN-1ADFILM,CINEMA003125SCREEN-1ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Cinemore Cinemas Screen 1, Bathinda, Punjab",CINEMA003125,SCREEN-1ADFILM,CINEMA003125SCREEN-1ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Cinemore Cinemas Screen 1, Bathinda, Punjab",CINEMA003125,SCREEN-1SLIDE,CINEMA003125SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Qube Cinemore Cinemas Screen 1, Bathinda, Punjab",CINEMA003125,SCREEN-1SLIDE,CINEMA003125SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Qube Cinemore Cinemas Screen 1, Bathinda, Punjab",CINEMA003125,SCREEN-2ADFILM,CINEMA003125SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Qube Cinemore Cinemas Screen 1, Bathinda, Punjab",CINEMA003125,SCREEN-2ADFILM,CINEMA003125SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Qube Cinemore Cinemas Screen 1, Bathinda, Punjab",CINEMA003125,SCREEN-2SLIDE,CINEMA003125SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
